name,type,novel,bases,community,degree,betweenness,planet
Галактика,onym,Туманность Андромеды,1,291,0.0,0.0,Нейтр/Космос
Огни,onym,Туманность Андромеды,1,292,0.0011792452830188679,0.0,Нейтр/Космос
Праздник,onym,Туманность Андромеды,1,292,0.0011792452830188679,0.0,Нейтр/Космос
Чаш,onym,Туманность Андромеды,1,292,0.0011792452830188679,0.0,Нейтр/Космос
Метагалактики,onym,Туманность Андромеды,1,293,0.0,0.0,Нейтр/Космос
Пищи,onym,Туманность Андромеды,1,294,0.0,0.0,Нейтр/Космос
Зан,onym,Туманность Андромеды,1,295,0.001768867924528302,0.0,Нейтр/Космос
Сена,onym,Туманность Андромеды,1,295,0.001768867924528302,0.0,Нейтр/Космос
Мечи,onym,Туманность Андромеды,1,295,0.0023584905660377358,6.957199309845829e-07,Нейтр/Космос
Подвиги,onym,Туманность Андромеды,1,295,0.0023584905660377358,6.957199309845829e-07,Нейтр/Космос
Забота,onym,Туманность Андромеды,1,295,0.0011792452830188679,0.0,Нейтр/Космос
Полезности,onym,Туманность Андромеды,1,296,0.001768867924528302,0.0,Нейтр/Космос
Искусства,onym,Туманность Андромеды,1,296,0.001768867924528302,0.0,Нейтр/Космос
Смелости,onym,Туманность Андромеды,1,296,0.001768867924528302,0.0,Нейтр/Космос
Фантазии,onym,Туманность Андромеды,1,296,0.001768867924528302,0.0,Нейтр/Космос
Америкой,onym,Туманность Андромеды,1,498,0.0011792452830188679,0.0,Нейтр/Космос
Лица,onym,Час Быка,1,498,0.0023584905660377358,3.687315634218289e-05,Нейтр/Космос
Брови,onym,Туманность Андромеды,1,498,0.001768867924528302,6.957199309845829e-07,Нейтр/Космос
Птица,onym,Туманность Андромеды,1,498,0.001768867924528302,1.1131518895753326e-05,Нейтр/Космос
Одеяние,onym,Туманность Андромеды,1,498,0.0005896226415094339,0.0,Нейтр/Космос
Зрители,onym,Туманность Андромеды,1,297,0.0,0.0,Нейтр/Космос
Востока,onym,Туманность Андромеды,1,298,0.0011792452830188679,0.0,Нейтр/Космос
Дочери,onym,Туманность Андромеды,1,298,0.0011792452830188679,0.0,Нейтр/Космос
Севере,onym,Туманность Андромеды,1,298,0.001768867924528302,1.3914398619691658e-06,Нейтр/Космос
Нежность,onym,Туманность Андромеды,1,298,0.0005896226415094339,0.0,Нейтр/Космос
Пробуждение,onym,Сердце Змеи,1,299,0.0,0.0,Нейтр/Космос
Распорядители,onym,Туманность Андромеды,1,300,0.0,0.0,Нейтр/Космос
Эрос,onym,Туманность Андромеды,1,301,0.0,0.0,Нейтр/Космос
Пилюли,onym,Туманность Андромеды,1,302,0.0,0.0,Нейтр/Космос
Рена,onym,Туманность Андромеды,1,303,0.0,0.0,Нейтр/Космос
Психология,onym,Туманность Андромеды,1,304,0.0,0.0,Нейтр/Космос
Псах,onym,Туманность Андромеды,1,305,0.0011792452830188679,0.0,Нейтр/Космос
Волосах,onym,Туманность Андромеды,1,305,0.0011792452830188679,0.0,Нейтр/Космос
Деве,onym,Туманность Андромеды,1,305,0.0011792452830188679,0.0,Нейтр/Космос
М-31,onym,Час Быка,1,72,0.0011792452830188679,0.0,Нейтр/Космос
Сиррах,onym,Туманность Андромеды,1,306,0.0023584905660377358,0.0,Нейтр/Космос
Мирах,onym,Туманность Андромеды,1,306,0.0023584905660377358,0.0,Нейтр/Космос
Альмах,onym,Туманность Андромеды,1,306,0.0023584905660377358,0.0,Нейтр/Космос
М-33,onym,Туманность Андромеды,1,306,0.003537735849056604,2.087159792953749e-06,Нейтр/Космос
Треугольника,onym,Туманность Андромеды,1,306,0.003537735849056604,2.087159792953749e-06,Нейтр/Космос
М-51,onym,Туманность Андромеды,1,306,0.001768867924528302,0.0,Нейтр/Космос
Псов,onym,Туманность Андромеды,1,306,0.001768867924528302,0.0,Нейтр/Космос
Края,onym,Туманность Андромеды,1,307,0.0,0.0,Нейтр/Космос
Девы,onym,Туманность Андромеды,1,308,0.0,0.0,Нейтр/Космос
Сроки,onym,Туманность Андромеды,1,309,0.0,0.0,Нейтр/Космос
Свет,onym,Сердце Змеи,1,310,0.0011792452830188679,0.0,Нейтр/Космос
Пределом,onym,Туманность Андромеды,1,311,0.0,0.0,Нейтр/Космос
Сириуса,onym,Туманность Андромеды,1,312,0.0,0.0,Нейтр/Космос
Школа,onym,Туманность Андромеды,1,313,0.0011792452830188679,0.0,Нейтр/Космос
Четыреста,onym,Туманность Андромеды,1,313,0.0011792452830188679,0.0,Нейтр/Космос
Ирландии,onym,Туманность Андромеды,1,313,0.0011792452830188679,0.0,Нейтр/Космос
Название,onym,Час Быка,1,314,0.0005896226415094339,0.0,Нейтр/Космос
Преподаватель,onym,Туманность Андромеды,1,314,0.0005896226415094339,0.0,Нейтр/Космос
Многое,onym,Туманность Андромеды,1,315,0.0,0.0,Нейтр/Космос
Усложнение,onym,Туманность Андромеды,1,316,0.0,0.0,Нейтр/Космос
Автоматизация,onym,Туманность Андромеды,1,317,0.0,0.0,Нейтр/Космос
Ожерелье,onym,Туманность Андромеды,1,318,0.0,0.0,Нейтр/Космос
Мама,onym,Туманность Андромеды,1,319,0.0011792452830188679,0.0,Нейтр/Космос
Эвде,onym,Туманность Андромеды,1,319,0.0011792452830188679,0.0,Нейтр/Космос
Учительница,onym,Туманность Андромеды,1,319,0.0011792452830188679,0.0,Нейтр/Космос
Pea,onym,Туманность Андромеды,1,320,0.0,0.0,Нейтр/Космос
Занятия,onym,Туманность Андромеды,1,321,0.0005896226415094339,0.0,Нейтр/Космос
Реи,onym,Туманность Андромеды,1,321,0.0011792452830188679,6.957199309845829e-07,Нейтр/Космос
Кай,onym,Туманность Андромеды,1,321,0.0005896226415094339,0.0,Нейтр/Космос
Затмит,onym,Туманность Андромеды,1,322,0.0,0.0,Нейтр/Космос
Притупление,onym,Туманность Андромеды,1,323,0.0,0.0,Нейтр/Космос
Учитель,onym,Час Быка,1,8,0.001768867924528302,0.0002848973117381867,Нейтр/Космос
Советы,onym,Туманность Андромеды,1,324,0.0,0.0,Нейтр/Космос
Оль,onym,Туманность Андромеды,1,325,0.0,0.0,Нейтр/Космос
Советов,onym,Час Быка,1,326,0.004127358490566038,6.957199309845829e-08,Нейтр/Космос
Экономики,onym,Час Быка,1,326,0.004127358490566038,6.957199309845829e-08,Нейтр/Космос
Юноши,onym,Туманность Андромеды,1,327,0.0023584905660377358,9.938856156922613e-08,Нейтр/Космос
Сил,onym,Туманность Андромеды,1,327,0.0023584905660377358,9.938856156922613e-08,Нейтр/Космос
Стохастики,onym,Туманность Андромеды,1,327,0.0023584905660377358,9.938856156922613e-08,Нейтр/Космос
